# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
5.000e-03, 5.000e-01, -1.195e+00, 1.217e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.212e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.185e+00, 1.216e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.210e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.175e+00, 1.215e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.208e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.165e+00, 1.213e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.205e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.155e+00, 1.212e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.202e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.145e+00, 1.210e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.198e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.135e+00, 1.206e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.192e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.125e+00, 1.202e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.185e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.115e+00, 1.197e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.175e+00, 9.983e+02, 2.000e-17
5.000e-03, 5.000e-01, -1.105e+00, 1.193e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.168e+00, 9.983e+02, 2.382e-17
5.000e-03, 5.000e-01, -1.095e+00, 1.192e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.167e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.085e+00, 1.192e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.165e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.075e+00, 1.191e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.163e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.065e+00, 1.190e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.161e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.055e+00, 1.189e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.160e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.045e+00, 1.188e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.158e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.035e+00, 1.187e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.156e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.025e+00, 1.186e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.154e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.015e+00, 1.185e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.152e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -1.005e+00, 1.184e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.151e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.950e-01, 1.183e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.149e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.850e-01, 1.182e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.147e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.750e-01, 1.181e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.145e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.650e-01, 1.180e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.144e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.550e-01, 1.179e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.142e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.450e-01, 1.178e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.140e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.350e-01, 1.177e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.138e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.250e-01, 1.176e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.136e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.150e-01, 1.175e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.135e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -9.050e-01, 1.174e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.133e+00, 9.983e+02, 4.300e-17
5.000e-03, 5.000e-01, -8.950e-01, 1.188e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.158e+00, 9.983e+02, 4.356e-17
5.000e-03, 5.000e-01, -8.850e-01, 1.187e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.156e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.750e-01, 1.186e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.155e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.650e-01, 1.185e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.153e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.550e-01, 1.184e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.151e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.450e-01, 1.183e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.149e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.350e-01, 1.182e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.147e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.250e-01, 1.181e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.146e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.150e-01, 1.180e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.144e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -8.050e-01, 1.179e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.142e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.950e-01, 1.178e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.140e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.850e-01, 1.177e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.138e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.750e-01, 1.176e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.137e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.650e-01, 1.175e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.135e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.550e-01, 1.174e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.133e+00, 9.983e+02, 4.400e-17
5.000e-03, 5.000e-01, -7.450e-01, 1.173e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.131e+00, 9.983e+02, 4.425e-17
5.000e-03, 5.000e-01, -7.350e-01, 1.157e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.103e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.250e-01, 1.156e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.101e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.150e-01, 1.155e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.099e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -7.050e-01, 1.154e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.097e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.950e-01, 1.153e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.095e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.850e-01, 1.152e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.094e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.750e-01, 1.151e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.092e+00, 9.983e+02, 4.500e-17
5.000e-03, 5.000e-01, -6.650e-01, 1.150e+05, 0.000e+00, 1.002e-13, 0.000e+00, 2.090e+00, 9.983e+02, 4.500e-17
