t[s],p1[Pa],p2[Pa],mobA[kg],immA[kg],dissA[kg],sealA[kg],mobB[kg],immB[kg],dissB[kg],sealB[kg],M_C[m],sealTot[kg]
0.000000e+00,1.168551e+05,1.109793e+05, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00, 0.000000e+00
3.000000e+02,1.161172e+05,1.109821e+05, 0.000000e+00, 0.000000e+00, 3.888460e-10, 1.292299e-14, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973647e-16, 3.198897e-05, 1.853458e-12
6.000000e+02,1.161139e+05,1.109808e+05, 1.102195e-05, 0.000000e+00, 2.429140e-05, 6.952789e-07, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973647e-16, 4.756948e-02, 7.462983e-07
9.000000e+02,1.161170e+05,1.109813e+05, 2.333332e-05, 2.953818e-07, 5.372394e-05, 1.709865e-06, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973647e-16, 8.945395e-02, 1.790012e-06
1.200000e+03,1.161262e+05,1.109849e+05, 4.513721e-05, 3.259454e-07, 7.724144e-05, 3.144130e-06, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973647e-16, 1.044804e-01, 3.264824e-06
1.500000e+03,1.161262e+05,1.109848e+05, 6.815905e-05, 2.544173e-07, 9.959326e-05, 4.770779e-06, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973648e-16, 1.358415e-01, 4.937165e-06
1.800000e+03,1.161262e+05,1.109842e+05, 9.304095e-05, 1.559655e-07, 1.195582e-04, 6.654834e-06, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973648e-16, 1.706457e-01, 6.874212e-06
2.100000e+03,1.161312e+05,1.109848e+05, 1.260936e-04, 1.490933e-07, 1.303484e-04, 9.249929e-06, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973648e-16, 1.732899e-01, 9.542720e-06
2.400000e+03,1.161727e+05,1.109844e+05, 1.425609e-04, 3.316497e-06, 1.550975e-04, 1.101804e-05, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973648e-16, 1.964749e-01, 1.136067e-05
2.700000e+03,1.161759e+05,1.109847e+05, 1.802398e-04, 7.259594e-08, 1.638432e-04, 1.402608e-05, 0.000000e+00, 0.000000e+00, 2.889169e-13, 3.973648e-16, 1.922448e-01, 1.445527e-05
