# #x[m], y[m], z[m], pressure[Pa], gas saturation[-], mass fraction of CO2 in liquid[-], mass fraction of H2O in vapor[-], phase mass density gas[kg/m3], phase mass density water [kg/m3], total mass CO2[kg]
# 
3.500e+01, 5.000e-01, -1.185e+03, 4.650e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.896e+02, 9.985e+02, 3.355e-08
3.500e+01, 5.000e-01, -1.155e+03, 4.674e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.916e+02, 9.987e+02, 3.356e-08
3.500e+01, 5.000e-01, -1.125e+03, 4.738e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.954e+02, 9.992e+02, 3.357e-08
3.500e+01, 5.000e-01, -1.095e+03, 4.787e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.988e+02, 9.997e+02, 3.758e+01
3.500e+01, 5.000e-01, -1.065e+03, 4.758e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.997e+02, 9.999e+02, 3.759e+01
3.500e+01, 5.000e-01, -1.035e+03, 4.728e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.007e+02, 1.000e+03, 3.759e+01
3.500e+01, 5.000e-01, -1.005e+03, 4.699e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.018e+02, 1.001e+03, 3.761e+01
3.500e+01, 5.000e-01, -9.750e+02, 4.669e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.029e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.450e+02, 4.640e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.041e+02, 1.001e+03, 3.762e+01
3.500e+01, 5.000e-01, -9.150e+02, 4.611e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.055e+02, 1.002e+03, 3.764e+01
3.500e+01, 5.000e-01, -8.850e+02, 4.595e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.081e+02, 1.002e+03, 4.629e-02
3.500e+01, 5.000e-01, -8.550e+02, 4.570e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.091e+02, 1.002e+03, 3.368e-02
3.500e+01, 5.000e-01, -8.250e+02, 4.540e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.097e+02, 1.003e+03, 3.369e-02
3.500e+01, 5.000e-01, -7.950e+02, 4.510e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.102e+02, 1.003e+03, 3.369e-02
3.500e+01, 5.000e-01, -7.650e+02, 4.480e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.105e+02, 1.003e+03, 3.370e-02
3.500e+01, 5.000e-01, -7.350e+02, 4.431e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.102e+02, 1.003e+03, 6.740e-02
3.500e+01, 5.000e-01, -7.050e+02, 4.402e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.112e+02, 1.003e+03, 6.745e-02
3.500e+01, 5.000e-01, -6.750e+02, 4.372e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.122e+02, 1.003e+03, 6.743e-02
3.500e+01, 5.000e-01, -6.450e+02, 4.343e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.131e+02, 1.004e+03, 6.745e-02
3.500e+01, 5.000e-01, -6.150e+02, 4.313e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.141e+02, 1.004e+03, 6.746e-02
3.500e+01, 5.000e-01, -5.850e+02, 4.284e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.152e+02, 1.004e+03, 6.748e-02
3.500e+01, 5.000e-01, -5.550e+02, 4.254e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.165e+02, 1.004e+03, 6.750e-02
3.500e+01, 5.000e-01, -5.250e+02, 4.225e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.178e+02, 1.005e+03, 6.752e-02
3.500e+01, 5.000e-01, -4.950e+02, 4.195e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.193e+02, 1.005e+03, 3.022e+01
3.500e+01, 5.000e-01, -4.650e+02, 4.165e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.202e+02, 1.005e+03, 3.778e+01
3.500e+01, 5.000e-01, -4.350e+02, 4.135e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.214e+02, 1.005e+03, 3.779e+01
3.500e+01, 5.000e-01, -4.050e+02, 4.106e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.228e+02, 1.006e+03, 3.780e+01
3.500e+01, 5.000e-01, -3.750e+02, 4.076e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.243e+02, 1.006e+03, 8.028e-02
3.500e+01, 5.000e-01, -3.450e+02, 4.047e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.259e+02, 1.006e+03, 6.762e-02
3.500e+01, 5.000e-01, -3.150e+02, 4.017e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.272e+02, 1.006e+03, 6.764e-02
3.500e+01, 5.000e-01, -2.850e+02, 3.987e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.285e+02, 1.007e+03, 6.765e-02
3.500e+01, 5.000e-01, -2.550e+02, 3.958e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.299e+02, 1.007e+03, 6.767e-02
3.500e+01, 5.000e-01, -2.250e+02, 3.928e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.312e+02, 1.007e+03, 6.768e-02
3.500e+01, 5.000e-01, -1.950e+02, 3.899e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.325e+02, 1.007e+03, 3.028e+01
3.500e+01, 5.000e-01, -1.650e+02, 3.869e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.342e+02, 1.008e+03, 3.029e+01
3.500e+01, 5.000e-01, -1.350e+02, 3.858e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.374e+02, 1.008e+03, 3.387e-02
3.500e+01, 5.000e-01, -1.050e+02, 3.829e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.392e+02, 1.008e+03, 3.388e-02
3.500e+01, 5.000e-01, -7.500e+01, 3.799e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.410e+02, 1.008e+03, 3.389e-02
3.500e+01, 5.000e-01, -4.500e+01, 3.769e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.428e+02, 1.009e+03, 3.389e-02
3.500e+01, 5.000e-01, -1.500e+01, 3.739e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.445e+02, 1.009e+03, 3.390e-02
1.050e+02, 5.000e-01, -1.185e+03, 4.631e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.887e+02, 9.984e+02, 3.355e-08
1.050e+02, 5.000e-01, -1.155e+03, 4.657e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.908e+02, 9.987e+02, 3.356e-08
1.050e+02, 5.000e-01, -1.125e+03, 4.729e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.949e+02, 9.992e+02, 3.357e-08
1.050e+02, 5.000e-01, -1.095e+03, 4.787e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.987e+02, 9.997e+02, 8.397e-02
1.050e+02, 5.000e-01, -1.065e+03, 4.758e+07, 0.000e+00, 1.000e-06, 0.000e+00, 8.996e+02, 9.999e+02, 8.400e-02
1.050e+02, 5.000e-01, -1.035e+03, 4.728e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.007e+02, 1.000e+03, 8.402e-02
1.050e+02, 5.000e-01, -1.005e+03, 4.699e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.019e+02, 1.001e+03, 8.405e-02
1.050e+02, 5.000e-01, -9.750e+02, 4.669e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.033e+02, 1.001e+03, 8.408e-02
1.050e+02, 5.000e-01, -9.450e+02, 4.640e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.050e+02, 1.001e+03, 8.412e-02
1.050e+02, 5.000e-01, -9.150e+02, 4.611e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.068e+02, 1.002e+03, 8.415e-02
1.050e+02, 5.000e-01, -8.850e+02, 4.595e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.091e+02, 1.002e+03, 4.630e-02
1.050e+02, 5.000e-01, -8.550e+02, 4.570e+07, 0.000e+00, 1.000e-06, 0.000e+00, 9.098e+02, 1.002e+03, 3.368e-02
